iter	Passed	Remaining
0	2	879
1	5	820
2	8	796
3	10	793
4	13	786
5	15	774
6	18	765
7	20	763
8	23	759
9	26	770
10	29	766
11	31	759
12	34	754
13	37	759
14	39	753
15	54	970
16	69	1161
17	84	1327
18	99	1474
19	114	1606
20	129	1720
21	144	1824
22	160	1928
23	175	2013
24	189	2089
25	192	2029
26	195	1975
27	197	1922
28	200	1873
29	203	1827
30	205	1784
31	217	1823
32	232	1883
33	247	1937
34	262	1987
35	277	2035
36	292	2077
37	307	2117
38	322	2155
39	340	2213
40	355	2246
41	370	2275
42	385	2302
43	399	2327
44	419	2375
45	434	2398
46	449	2417
47	463	2434
48	478	2451
49	493	2467
50	508	2481
51	523	2495
52	538	2508
53	553	2520
54	568	2533
55	583	2541
56	598	2550
57	613	2558
58	628	2566
59	643	2573
60	658	2579
61	672	2583
62	687	2588
63	702	2591
64	717	2593
65	732	2595
66	747	2598
67	761	2599
68	776	2600
69	791	2600
70	806	2600
71	815	2582
72	818	2545
73	821	2507
74	823	2471
75	826	2435
76	829	2400
77	841	2394
78	843	2360
79	846	2328
80	849	2296
81	851	2264
82	854	2233
83	856	2203
84	859	2174
85	862	2146
86	865	2118
87	867	2090
88	870	2062
89	872	2036
90	877	2014
91	879	1989
92	882	1964
93	885	1940
94	887	1916
95	890	1893
96	893	1869
97	896	1847
98	898	1824
99	901	1802
100	903	1781
101	906	1759
102	920	1760
103	935	1762
104	938	1742
105	940	1721
106	943	1701
107	945	1681
108	948	1661
109	950	1642
110	953	1622
111	955	1604
112	958	1585
113	960	1567
114	963	1549
115	977	1550
116	980	1532
117	982	1515
118	985	1498
119	987	1481
120	990	1465
121	992	1448
122	995	1432
123	997	1416
124	1000	1400
125	1002	1385
126	1005	1369
127	1009	1356
128	1011	1341
129	1014	1326
130	1016	1311
131	1019	1297
132	1021	1283
133	1024	1269
134	1027	1255
135	1029	1241
136	1032	1228
137	1034	1214
138	1037	1201
139	1041	1190
140	1044	1177
141	1046	1164
142	1049	1151
143	1051	1139
144	1054	1127
145	1057	1115
146	1059	1102
147	1063	1092
148	1066	1080
149	1068	1068
150	1071	1057
151	1073	1045
152	1076	1034
153	1078	1022
154	1081	1011
155	1095	1011
156	1097	1000
157	1100	989
158	1103	978
159	1105	967
160	1108	956
161	1110	946
162	1113	935
163	1116	925
164	1118	915
165	1121	905
166	1123	895
167	1126	885
168	1139	883
169	1142	873
170	1145	864
171	1147	854
172	1150	844
173	1153	834
174	1155	825
175	1158	816
176	1160	806
177	1163	797
178	1165	788
179	1168	779
180	1171	769
181	1184	767
182	1187	759
183	1190	750
184	1193	741
185	1195	732
186	1198	724
187	1201	715
188	1204	707
189	1207	699
190	1210	690
191	1212	682
192	1215	673
193	1226	670
194	1229	662
195	1232	653
196	1236	646
197	1239	638
198	1242	630
199	1244	622
200	1247	614
201	1250	606
202	1252	598
203	1255	590
204	1257	582
205	1260	575
206	1264	568
207	1267	560
208	1269	552
209	1272	545
210	1275	537
211	1277	530
212	1280	522
213	1283	515
214	1285	508
215	1288	500
216	1290	493
217	1293	486
218	1295	479
219	1298	472
220	1301	465
221	1303	458
222	1306	451
223	1309	444
224	1311	437
225	1314	430
226	1316	423
227	1319	416
228	1321	409
229	1324	403
230	1326	396
231	1329	389
232	1332	383
233	1334	376
234	1337	369
235	1339	363
236	1342	356
237	1344	350
238	1347	343
239	1350	337
240	1364	333
241	1369	328
242	1372	321
243	1375	315
244	1377	309
245	1380	303
246	1383	296
247	1385	290
248	1388	284
249	1391	278
250	1393	272
251	1396	266
252	1400	260
253	1403	254
254	1406	248
255	1408	242
256	1411	236
257	1413	230
258	1416	224
259	1418	218
260	1421	212
261	1423	206
262	1426	200
263	1429	194
264	1431	189
265	1434	183
266	1436	177
267	1439	171
268	1443	166
269	1445	160
270	1448	154
271	1451	149
272	1453	143
273	1456	138
274	1458	132
275	1461	127
276	1463	121
277	1466	116
278	1468	110
279	1471	105
280	1474	99
281	1476	94
282	1479	88
283	1481	83
284	1484	78
285	1498	73
286	1501	68
287	1504	62
288	1506	57
289	1509	52
290	1511	46
291	1514	41
292	1517	36
293	1519	31
294	1522	25
295	1524	20
296	1527	15
297	1536	10
298	1539	5
299	1541	0
