iter	Passed	Remaining
0	2	627
1	3	558
2	6	632
3	7	584
4	9	554
5	10	527
6	12	529
7	14	539
8	16	524
9	17	513
10	19	508
11	20	500
12	23	516
13	25	515
14	26	509
15	28	502
16	29	498
17	31	499
18	33	493
19	34	489
20	37	492
21	38	490
22	40	485
23	41	480
24	44	487
25	45	482
26	48	486
27	50	493
28	52	490
29	53	485
30	55	481
31	57	481
32	59	478
33	60	476
34	63	480
35	65	476
36	67	476
37	69	481
38	72	483
39	73	478
40	75	479
41	77	477
42	79	474
43	81	471
44	84	476
45	85	472
46	88	473
47	90	476
48	92	475
49	95	476
50	97	475
51	98	471
52	100	469
53	103	472
54	105	468
55	108	471
56	110	469
57	111	465
58	113	461
59	115	463
60	117	459
61	118	455
62	120	453
63	123	455
64	126	456
65	128	457
66	130	453
67	132	451
68	135	452
69	136	448
70	137	444
71	140	443
72	142	442
73	143	439
74	145	436
75	147	436
76	149	433
77	151	430
78	153	430
79	155	426
80	156	423
81	158	422
82	160	420
83	163	420
84	165	419
85	168	418
86	169	415
87	172	416
88	174	413
89	176	412
90	179	413
91	181	409
92	182	407
93	185	406
94	186	403
95	188	400
96	190	399
97	192	396
98	193	393
99	195	390
100	197	388
101	199	386
102	201	384
103	203	383
104	204	380
105	206	377
106	207	374
107	209	372
108	211	369
109	212	367
110	214	364
111	216	362
112	217	360
113	219	357
114	220	355
115	222	352
116	223	349
117	225	347
118	226	344
119	228	342
120	229	340
121	231	337
122	232	335
123	234	332
124	236	330
125	237	328
126	239	325
127	240	323
128	242	320
129	243	318
130	245	316
131	246	313
132	248	312
133	250	309
134	251	307
135	253	305
136	254	303
137	256	301
138	258	298
139	259	296
140	261	294
141	262	292
142	264	289
143	265	287
144	266	285
145	268	283
146	269	280
147	272	280
148	274	278
149	275	275
150	277	274
151	279	271
152	280	269
153	282	267
154	284	265
155	285	263
156	287	261
157	289	259
158	290	257
159	292	255
160	293	253
161	295	251
162	296	249
163	298	247
164	300	245
165	301	243
166	303	241
167	305	239
168	306	237
169	308	235
170	309	233
171	311	232
172	313	229
173	314	227
174	316	225
175	317	223
176	318	221
177	320	219
178	322	217
179	323	215
180	324	213
181	326	211
182	327	209
183	329	207
184	331	205
185	332	203
186	334	201
187	335	199
188	337	198
189	338	196
190	340	194
191	341	192
192	343	190
193	345	188
194	346	186
195	348	184
196	349	182
197	350	180
198	352	179
199	354	177
200	355	175
201	357	173
202	358	171
203	360	169
204	361	167
205	362	165
206	364	163
207	365	161
208	367	159
209	369	158
210	370	156
211	372	154
212	373	152
213	375	150
214	376	148
215	378	147
216	379	145
217	381	143
218	383	141
219	384	139
220	386	138
221	387	136
222	389	134
223	390	132
224	392	130
225	394	129
226	395	127
227	397	125
228	398	123
229	399	121
230	401	119
231	402	118
232	404	116
233	405	114
234	407	112
235	408	110
236	410	109
237	412	107
238	414	105
239	415	103
240	416	102
241	418	100
242	419	98
243	421	96
244	422	94
245	424	93
246	425	91
247	426	89
248	428	87
249	429	85
250	431	84
251	432	82
252	433	80
253	435	78
254	436	77
255	438	75
256	439	73
257	441	71
258	442	70
259	444	68
260	445	66
261	446	64
262	448	63
263	450	61
264	451	59
265	453	57
266	454	56
267	456	54
268	457	52
269	459	51
270	460	49
271	463	47
272	464	45
273	466	44
274	467	42
275	469	40
276	470	39
277	472	37
278	474	35
279	475	33
280	477	32
281	479	30
282	480	28
283	482	27
284	484	25
285	485	23
286	487	22
287	488	20
288	489	18
289	492	16
290	494	15
291	496	13
292	497	11
293	499	10
294	500	8
295	502	6
296	503	5
297	505	3
298	507	1
299	508	0
