iter	Passed	Remaining
0	1	557
1	3	507
2	5	528
3	6	499
4	8	482
5	9	473
6	11	463
7	12	456
8	13	450
9	15	446
10	16	443
11	18	440
12	19	437
13	21	434
14	22	431
15	24	429
16	25	427
17	27	425
18	28	422
19	30	420
20	31	418
21	32	416
22	34	414
23	35	413
24	37	411
25	52	551
26	55	557
27	56	550
28	58	543
29	59	537
30	61	530
31	62	525
32	64	519
33	65	514
34	67	508
35	68	504
36	70	499
37	71	494
38	73	490
39	74	486
40	76	481
41	77	477
42	79	473
43	80	469
44	92	524
45	106	586
46	120	647
47	134	705
48	148	759
49	161	809
50	175	857
51	189	901
52	202	945
53	216	986
54	230	1025
55	242	1055
56	256	1092
57	269	1126
58	283	1158
59	297	1188
60	310	1217
61	324	1244
62	337	1270
63	351	1295
64	364	1318
65	378	1342
66	392	1364
67	397	1355
68	399	1336
69	400	1316
70	402	1299
71	404	1281
72	406	1263
73	407	1245
74	409	1227
75	410	1210
76	412	1193
77	413	1177
78	415	1161
79	416	1146
80	418	1131
81	428	1138
82	431	1128
83	432	1113
84	434	1098
85	435	1084
86	437	1070
87	438	1057
88	440	1044
89	441	1031
90	443	1018
91	444	1006
92	446	993
93	447	981
94	449	969
95	450	958
96	452	946
97	453	935
98	455	924
99	456	913
100	458	903
101	459	892
102	461	882
103	462	872
104	476	885
105	490	898
106	493	889
107	495	880
108	496	870
109	497	860
110	499	850
111	500	840
112	502	831
113	503	822
114	505	812
115	506	803
116	508	795
117	509	786
118	511	777
119	512	768
120	514	760
121	515	752
122	517	744
123	523	743
124	525	735
125	526	727
126	528	719
127	529	711
128	530	703
129	532	696
130	533	688
131	535	681
132	536	674
133	538	666
134	539	659
135	541	652
136	542	645
137	544	638
138	545	632
139	547	625
140	548	618
141	549	611
142	561	616
143	574	622
144	577	617
145	578	610
146	580	603
147	581	597
148	583	591
149	584	584
150	586	578
151	587	572
152	589	566
153	590	559
154	592	553
155	593	547
156	595	542
157	597	536
158	598	530
159	600	525
160	601	519
161	603	513
162	604	508
163	605	502
164	607	497
165	608	491
166	614	489
167	615	483
168	616	478
169	618	472
170	619	467
171	621	462
172	622	457
173	624	452
174	625	447
175	627	442
176	628	436
177	630	432
178	631	427
179	633	422
180	634	417
181	636	412
182	637	407
183	639	403
184	640	398
185	642	393
186	643	388
187	645	384
188	646	379
189	648	375
190	649	370
191	651	366
192	652	361
193	655	358
194	657	353
195	658	349
196	660	345
197	661	340
198	663	336
199	664	332
200	666	328
201	667	323
202	669	319
203	670	315
204	672	311
205	673	307
206	675	303
207	676	299
208	678	295
209	679	291
210	681	287
211	682	283
212	684	279
213	685	275
214	695	275
215	697	271
216	698	267
217	700	263
218	701	259
219	703	255
220	704	251
221	706	248
222	707	244
223	709	240
224	710	236
225	712	233
226	713	229
227	715	225
228	716	222
229	718	218
230	719	215
231	721	211
232	722	207
233	724	204
234	736	203
235	738	200
236	739	196
237	741	193
238	742	189
239	744	186
240	745	182
241	747	179
242	748	175
243	750	172
244	751	168
245	752	165
246	754	161
247	755	158
248	757	155
249	758	151
250	760	148
251	761	145
252	763	141
253	764	138
254	766	135
255	779	134
256	783	131
257	787	128
258	788	124
259	790	121
260	791	118
261	793	115
262	794	111
263	796	108
264	797	105
265	799	102
266	800	98
267	802	95
268	803	92
269	805	89
270	806	86
271	808	83
272	809	80
273	811	76
274	812	73
275	826	71
276	839	69
277	854	67
278	856	64
279	857	61
280	859	58
281	860	54
282	862	51
283	863	48
284	865	45
285	866	42
286	868	39
287	869	36
288	871	33
289	872	30
290	874	27
291	875	23
292	877	20
293	878	17
294	880	14
295	881	11
296	883	8
297	884	5
298	886	2
299	898	0
