iter	Passed	Remaining
0	3	1001
1	5	892
2	8	836
3	10	803
4	13	792
5	15	778
6	18	771
7	20	764
8	23	757
9	25	750
10	28	744
11	30	741
12	33	735
13	47	968
14	62	1184
15	76	1364
16	91	1526
17	106	1674
18	122	1804
19	138	1936
20	153	2036
21	167	2121
22	182	2199
23	197	2267
24	212	2332
25	226	2390
26	241	2442
27	256	2490
28	270	2531
29	285	2570
30	300	2606
31	314	2637
32	329	2668
33	344	2696
34	360	2726
35	374	2748
36	389	2767
37	395	2729
38	399	2671
39	402	2615
40	404	2558
41	407	2505
42	410	2452
43	412	2402
44	415	2354
45	417	2307
46	420	2262
47	422	2220
48	425	2178
49	427	2138
50	430	2100
51	432	2064
52	446	2083
53	461	2103
54	476	2124
55	491	2141
56	506	2159
57	521	2174
58	523	2138
59	526	2104
60	528	2070
61	531	2038
62	533	2007
63	536	1977
64	538	1947
65	541	1918
66	543	1890
67	546	1863
68	548	1836
69	551	1810
70	553	1785
71	567	1796
72	582	1809
73	596	1822
74	611	1834
75	626	1847
76	641	1857
77	656	1867
78	670	1877
79	685	1885
80	700	1893
81	718	1910
82	733	1916
83	747	1922
84	762	1928
85	777	1934
86	792	1939
87	807	1944
88	810	1921
89	813	1897
90	815	1873
91	819	1853
92	822	1829
93	824	1807
94	827	1785
95	829	1763
96	832	1741
97	834	1720
98	837	1699
99	839	1679
100	842	1659
101	844	1640
102	848	1622
103	850	1603
104	853	1584
105	855	1566
106	858	1548
107	860	1530
108	875	1533
109	890	1537
110	905	1540
111	919	1543
112	935	1548
113	950	1550
114	965	1553
115	980	1554
116	994	1556
117	1009	1557
118	1023	1557
119	1039	1559
120	1053	1559
121	1068	1559
122	1083	1558
123	1097	1558
124	1112	1557
125	1127	1557
126	1142	1555
127	1156	1554
128	1171	1552
129	1185	1550
130	1200	1548
131	1215	1546
132	1220	1532
133	1223	1515
134	1226	1498
135	1229	1482
136	1232	1465
137	1234	1449
138	1237	1432
139	1239	1416
140	1242	1400
141	1244	1385
142	1258	1381
143	1273	1379
144	1288	1377
145	1303	1374
146	1317	1371
147	1332	1368
148	1347	1365
149	1361	1361
150	1377	1359
151	1392	1355
152	1406	1351
153	1421	1347
154	1436	1343
155	1450	1339
156	1465	1334
157	1480	1330
158	1495	1326
159	1509	1321
160	1524	1316
161	1539	1311
162	1553	1306
163	1568	1300
164	1583	1295
165	1598	1290
166	1612	1284
167	1627	1278
168	1643	1274
169	1658	1268
170	1673	1262
171	1688	1256
172	1702	1250
173	1717	1243
174	1732	1237
175	1746	1230
176	1761	1224
177	1776	1217
178	1791	1211
179	1794	1196
180	1796	1181
181	1799	1166
182	1801	1152
183	1804	1137
184	1806	1123
185	1809	1108
186	1811	1094
187	1814	1080
188	1829	1074
189	1831	1060
190	1834	1046
191	1836	1033
192	1839	1019
193	1841	1006
194	1844	993
195	1846	980
196	1849	966
197	1851	954
198	1854	941
199	1856	928
200	1869	920
201	1884	914
202	1899	907
203	1914	900
204	1929	893
205	1943	886
206	1958	879
207	1973	872
208	1987	865
209	2002	858
210	2017	850
211	2032	843
212	2035	831
213	2038	819
214	2041	807
215	2043	794
216	2046	782
217	2048	770
218	2063	763
219	2078	755
220	2093	748
221	2107	740
222	2122	732
223	2137	725
224	2151	717
225	2166	709
226	2181	701
227	2196	693
228	2211	685
229	2226	677
230	2240	669
231	2254	660
232	2269	652
233	2283	644
234	2298	635
235	2313	627
236	2328	618
237	2342	610
238	2357	601
239	2372	593
240	2387	584
241	2402	575
242	2417	566
243	2431	558
244	2435	546
245	2438	535
246	2441	523
247	2444	512
248	2446	501
249	2449	489
250	2452	478
251	2454	467
252	2457	456
253	2460	445
254	2472	436
255	2487	427
256	2503	418
257	2518	410
258	2533	401
259	2548	392
260	2562	382
261	2577	373
262	2593	364
263	2607	355
264	2622	346
265	2637	337
266	2652	327
267	2666	318
268	2681	309
269	2696	299
270	2710	290
271	2725	280
272	2740	271
273	2755	261
274	2769	251
275	2784	242
276	2799	232
277	2813	222
278	2828	212
279	2844	203
280	2859	193
281	2873	183
282	2877	172
283	2880	162
284	2882	151
285	2885	141
286	2887	130
287	2890	120
288	2893	110
289	2895	99
290	2898	89
291	2900	79
292	2903	69
293	2914	59
294	2929	49
295	2944	39
296	2958	29
297	2973	19
298	2989	9
299	3004	0
