iter	Passed	Remaining
0	1	506
1	2	446
2	4	417
3	5	406
4	6	397
5	8	413
6	9	404
7	10	396
8	12	391
9	13	387
10	14	385
11	15	382
12	17	378
13	18	376
14	19	373
15	20	370
16	22	368
17	23	365
18	24	363
19	25	360
20	27	359
21	28	360
22	30	362
23	31	361
24	32	360
25	34	359
26	35	358
27	37	361
28	38	359
29	39	356
30	41	359
31	43	360
32	44	361
33	45	359
34	47	357
35	48	356
36	49	354
37	51	352
38	52	351
39	54	351
40	55	350
41	58	357
42	59	357
43	61	355
44	62	356
45	64	354
46	65	352
47	66	350
48	68	349
49	69	348
50	70	346
51	72	344
52	73	342
53	74	340
54	76	339
55	77	337
56	78	335
57	79	333
58	81	333
59	83	332
60	84	331
61	86	330
62	87	328
63	88	326
64	90	326
65	91	324
66	92	322
67	94	321
68	95	319
69	96	317
70	97	315
71	99	315
72	100	313
73	102	312
74	103	310
75	104	309
76	106	309
77	107	307
78	109	305
79	110	304
80	112	303
81	113	302
82	115	300
83	116	298
84	117	297
85	118	296
86	120	294
87	121	293
88	122	291
89	124	289
90	125	288
91	126	286
92	128	285
93	129	284
94	131	282
95	132	280
96	134	281
97	136	280
98	137	279
99	139	278
100	140	277
101	141	275
102	143	274
103	144	272
104	145	270
105	147	270
106	149	268
107	150	267
108	151	266
109	153	264
110	154	263
111	155	261
112	156	259
113	158	258
114	159	256
115	161	255
116	163	255
117	164	254
118	166	252
119	167	251
120	169	250
121	170	249
122	171	247
123	173	245
124	174	244
125	175	242
126	177	241
127	178	239
128	180	238
129	181	237
130	183	236
131	184	234
132	185	232
133	186	231
134	188	230
135	189	228
136	190	226
137	191	225
138	193	224
139	194	222
140	196	221
141	197	219
142	199	218
143	200	217
144	202	215
145	203	214
146	204	212
147	205	211
148	207	209
149	208	208
150	209	206
151	210	205
152	212	203
153	213	202
154	214	200
155	216	199
156	217	198
157	219	197
158	220	195
159	221	194
160	223	192
161	224	191
162	226	190
163	227	188
164	229	187
165	231	186
166	232	185
167	233	183
168	235	182
169	236	180
170	237	179
171	239	177
172	240	176
173	241	174
174	243	173
175	245	172
176	246	171
177	248	170
178	249	168
179	250	167
180	252	165
181	253	164
182	254	162
183	256	161
184	257	159
185	258	158
186	259	157
187	261	155
188	262	154
189	264	152
190	265	151
191	266	150
192	268	148
193	269	147
194	271	146
195	272	144
196	274	143
197	275	142
198	277	140
199	278	139
200	279	137
201	281	136
202	282	135
203	284	133
204	285	132
205	287	131
206	288	129
207	290	128
208	291	126
209	292	125
210	294	124
211	295	122
212	296	121
213	298	119
214	300	118
215	301	117
216	302	115
217	304	114
218	306	113
219	307	111
220	308	110
221	310	109
222	311	107
223	313	106
224	318	106
225	323	105
226	327	105
227	329	104
228	336	104
229	340	103
230	344	102
231	347	101
232	349	100
233	352	99
234	355	98
235	357	96
236	359	95
237	362	94
238	364	92
239	367	91
240	369	90
241	371	89
242	373	87
243	374	85
244	376	84
245	377	82
246	378	81
247	380	79
248	381	78
249	382	76
250	384	74
251	385	73
252	386	71
253	388	70
254	389	68
255	391	67
256	393	65
257	394	64
258	397	62
259	398	61
260	400	59
261	401	58
262	402	56
263	404	55
264	405	53
265	406	51
266	407	50
267	409	48
268	410	47
269	412	45
270	413	44
271	415	42
272	416	41
273	418	39
274	419	38
275	421	36
276	422	35
277	423	33
278	425	31
279	426	30
280	427	28
281	429	27
282	430	25
283	431	24
284	432	22
285	434	21
286	436	19
287	437	18
288	438	16
289	440	15
290	441	13
291	443	12
292	444	10
293	445	9
294	447	7
295	448	6
296	449	4
297	451	3
298	453	1
299	454	0
